scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.021604,0.017682,0.613498,0.707954,0.247228,0.228826,0.958501,0.000000,784.147928,597.215500,1896.458680
S2a,0.091215,0.076488,0.622300,1.218843,1.221872,1.847405,0.958501,0.022833,625.528843,535.494500,1870.011490
S2b,0.056032,0.105131,0.617767,0.641916,0.962656,0.882556,0.958501,0.008667,586.412294,517.702000,1520.770190
S3a,0.127843,0.165895,0.678893,1.579415,1.608888,1.379997,0.977513,0.054500,597.193452,528.871000,1663.793760
S3b,0.332917,0.285283,0.633319,2.830116,2.236929,1.347975,1.174589,0.126167,654.638355,565.527000,1775.097330
S4,0.293455,0.250583,1.011096,2.171242,1.567631,2.815040,2.609255,0.160333,594.728376,514.212500,1726.157080
S5,0.463466,0.253361,0.824912,2.269017,2.791471,3.536751,2.216796,0.328000,616.504869,528.697000,1780.473780
S6,0.021512,0.017140,0.615108,0.707954,0.247228,0.228829,0.958501,0.000000,650.712060,578.718000,1712.530170
S7,0.051779,0.019464,0.613486,1.199570,0.397691,0.292091,0.958501,0.004333,604.272341,529.327000,1531.595220
S8,0.133389,0.147798,0.667751,1.380112,1.608884,1.791568,1.071115,0.058667,595.068420,514.798500,1554.115150
